GeneSymbol_one,KEGG_PATHWAY,MAJOR_PATHWAY,PATHWAY,Number,Type
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,97.0511,CLP_average
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,134.5669,CLP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,30.7397,CLP_average
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,156.0406667,CLP_average
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1067.933433,CLP_average
TCF4,,,,909.6152,CLP_average
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,202.2036667,CLP_average
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,428.0545667,CLP_average
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,490.6953,CLP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,71.0534,CDP_average
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,367.118,CDP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,18.8019,CDP_average
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,304.2634667,CDP_average
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1285.285733,CDP_average
TCF4,,,,835.62,CDP_average
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,293.6139,CDP_average
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,439.8798,CDP_average
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,453.7886333,CDP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,185.902,CMP_average
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,238.33455,CMP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,67.79195,CMP_average
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,146.51435,CMP_average
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1656.283,CMP_average
TCF4,,,,388.8248,CMP_average
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,49.5253,CMP_average
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,579.5288,CMP_average
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,726.12395,CMP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,52.99278,cDC_CD8Pos
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,432.02662,cDC_CD8Pos
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,20.05496,cDC_CD8Pos
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,134.6074,cDC_CD8Pos
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,300.19782,cDC_CD8Pos
TCF4,,,,490.97962,cDC_CD8Pos
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,3722.70528,cDC_CD8Pos
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,169.3266,cDC_CD8Pos
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,183.53852,cDC_CD8Pos
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,74.8316,pDC_CD8Pos
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,146.8229667,pDC_CD8Pos
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,17.71733333,pDC_CD8Pos
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,234.3985,pDC_CD8Pos
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,934.9846,pDC_CD8Pos
TCF4,,,,4136.287067,pDC_CD8Pos
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,67.6384,pDC_CD8Pos
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,177.4756,pDC_CD8Pos
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,159.1426,pDC_CD8Pos
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,71.64243333,cDC_CD8Neg
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,236.3811333,cDC_CD8Neg
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,17.04856667,cDC_CD8Neg
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,162.5397333,cDC_CD8Neg
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,192.3264667,cDC_CD8Neg
TCF4,,,,311.7425333,cDC_CD8Neg
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,1495.030433,cDC_CD8Neg
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,207.2428,cDC_CD8Neg
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,220.2512667,cDC_CD8Neg
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,66.93313333,pDC_CD8Neg
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,145.0854,pDC_CD8Neg
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,14.44043333,pDC_CD8Neg
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,302.5138667,pDC_CD8Neg
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1059.000767,pDC_CD8Neg
