GeneSymbol_one,KEGG_PATHWAY,MAJOR_PATHWAY,PATHWAY,Number,Number2,Type
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,97.0511,0.522055169,CLP_average
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,134.5669,0.564613481,CLP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,30.7397,0.453441743,CLP_average
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,156.0406667,1.065019684,CLP_average
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1067.933433,0.644777151,CLP_average
TCF4,,,,909.6152,2.339396047,CLP_average
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,202.2036667,4.082835776,CLP_average
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,428.0545667,0.738625184,CLP_average
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,490.6953,0.675773468,CLP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,71.0534,0.382208906,CDP_average
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,367.118,1.540347381,CDP_average
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,18.8019,0.277347089,CDP_average
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,304.2634667,2.076680316,CDP_average
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1285.285733,0.776006113,CDP_average
TCF4,,,,835.62,2.149091313,CDP_average
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,293.6139,5.928563785,CDP_average
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,439.8798,0.759030095,CDP_average
